Name of schools,Adress,Pin code,Contact
Ambition Academy,"85 G, Topsia Road, Tiljala, Nr Foot Ball Groud, Kolkata, West Bengal 700039 ",700039,9681081947
St Dominics school,"No. 45, Beniapukur Road, Near Jai Kali Mandir, Kolkata, West Bengal 700014 ",700014,3322840280
Huda Public School,"98, Christopher Road, Bl-B Floor-3, Topsia, Kolkata, West Bengal 700046 
",700046,9231171748
Janakalyan Shiksha Mandir,"Debendra Chandra Dey Road, Near Spring Hyundai Showroom, Mathpukur, Tangra, Kolkata, West Bengal 700046 
",700046,9830130689
Brahmo Balika Shikshalaya,"294, A.P.C. Road, Kolkata, West Bengal 700009 
",700009,3323502650
Jeeva Shiva Mission,"Gobinda Khatick Road, Near Vision Eye Clinic, Topsia, Kolkata, West Bengal 700046 ",700046,3323296239
Sadhana Vidya Mandir,"Canal East Road, Near Pioneer Enterprises, Kundu Bagan, Beliaghata, Kolkata, West Bengal 700085 ",700085,vidyamandir.edu.in
Oxford House,"Ballygunge Road, Near Bsnl Office, Ballygunge Place, Ballygunge, Kolkata, West Bengal 700019 
",700019,9038724147
St Laetitias High School,"P25A, Acharya Jagadish Chandra Bose Rd(SH-1), Raja Bazar, Sealdah, Kolkata, West Bengal 700011 ",700011,3322178742
Techno India Group Public School,"Techno City, Panchpota, Garia, South 24 Pargana, West Bengal-700152",700152,3324364028
Maharishi vidya mandir school,"344/1, Netaji Subhas Chandra Bose Rd, Kolkata, West Bengal 700047 ",700047,9831024933
Jagabandhu High school,"24/1C, Kustia Road, Kustia, Kolkata, West Bengal 700039 ",700039,3323435621
Kidzee Tagore Park," C-14 Tagore Park, Kolkata, West Bengal 700039 ",700039,916338840
The Crescent School," Rai Charan Ghosh Ln, Near S. B. Food Corner, Picnic Garden, Kustia, Kolkata, West Bengal 700039 ",700039,3323431562
Bani Vidyamandir Girls High School,"3a/a1, Suren Sarkar Road, Subhas Sarobar Park, Beliaghata, Kolkata, West Bengal 700010 ",700010,3323630924
Chowbaga High school,"Middle Chowgaba Road, Near Bus Stop Chowbasa, Chowbaga, Kolkata, West Bengal 700105 ",700105,3323455077
Panchajanya High School for Girls,"54 A K G Bose Sarani, K G Bose Sarani, Po, Ps Beleghata, Kolkata, West Bengal 700085 ",700085,
Belgachia Urdu High School,"1/2/4, J K Ghosh Road, Belgachia, Kolkata, West Bengal 700037 ",700037,3325328389
East Point High school,"JBS Haldane Avenue Road, Topsia, Kolkata, West Bengal 700046 ",700046,
Vidya Bhavana,"Sector-III, Salt Lake City, Rajarhat, West Bengal 700097 ",700097,Email:bgkv.kolkata@yahoo.com
Deshbandhu vidyapith,"15 & 107 Narkel Danga North Road, Calcutta Narkaldanga, West Bengal ",,3323514561
Jadavpur Vidyapith,"R.S.C. Mallick Road, Near United Bank, Poddar Nagar, Jadavpur, Kolkata, West Bengal 700032 ",700032,3324146746
South City International School," 368, Prince Anwar Shah Rd, Kolkata, West Bengal 700068 ",700068,8336815657
Kambrabad Uchha Vidyalaya,"Narendrapur Station Road, Near Jawaharlal Nehru National Yuva Kendra, Narendrapur, Kolkata, West Bengal 700150",700150,3324349461
Saraswati Sadan high School,"No 12/1A/53, Chowbaga Road, Kolkata, West Bengal 700039 ",700039,3323451056
Jyotirmoy Schools,"Jyotirmoy Knowledge Park Kalikapur, Sonarpur(South), West Bengal ",,3218260067
Green Valley Public School,"Samsul Huda Road, Park Circus, Ballygunge, Kolkata, West Bengal 700019 ",700019,9831135363
Kolia Amir Ali High School," Viull- Kolia. PO- Nabagram-Sikipur, Howrah, West Bengal 711315 ",711315,9433134505
Jingle Bell School," Bc 112, Milan Bazar, Samarpally, Near, Kestopur, Kolkata, West Bengal 700102 ",700102,9874957149
Sattari High School," NH 81, Sattari, English Bazaar, West Bengal 732208",732208,9733192809
ACS International,"Street No 10, Rajarhat, West Bengal 700156 ",700156,
Basix Academy,"103 Dipak Kumar LAL South 24 Parganas 0, Purba Panchanno Gram, South, Kolkata, West Bengal 700100 · ~7.8 km",700100,9123700979
Sushila Birla Girls School," 7, Moira St, Elgin, Kolkata, West Bengal 700017 ",700017,3322879006
Jibreel International School,"Shamsul Huda Road, Near Quest Mall, Park Circus, Ballygunge, Kolkata, West Bengal 700019",700019,3340088194
National High School,"42/1, Hazra Road, Ballyg, Ballygunge, Kolkata, West Bengal 700019",700019,3324755596
Loreto Day School," 6, Elliot Road, Park Street, Kolkata, West Bengal 700016 ",700016,
La Martiniere For Boys," 11, Loudon Street, Kolkata, West Bengal 700017 ",700017,3322902418
South point High school," 82/7A Ballygunge Place, Kolkata, West Bengal 700019 ",700019,3324405115
St James School,"165, AJC Bose Road, Near Indian Oil Petrol Pump And Diesel, Entally, Kolkata, West Bengal 700014 ",700014,3322841546
Ballygunge Park Day School,"P-1, Suhrawardy Avenue, Park Circus, Kolkata, West Bengal 700017",700017,3322896849
Loreto day school elliot road,"(Principal) 6, Elliot Road, Park Street, Kolkata, West Bengal 700016 ",700016,3322298256
Loreto Day School Dharamtalla,"122, Acharya Jagadish Chandra Bose Rd, Kolkata, West Bengal 700014 ",700014,3322127560
Loreto Day School Kindergarten,"Bepin Behari Ganguly Street, Near Central Bank Of India-Bowbazar, Shibpur, Kolkata, West Bengal 711103 ",711103,3322120134
our lady queen of the mission school,"34, Gariahat Road, Park Circus, Ballygunge, Kolkata, West Bengal 700019 
",700019,3322908196
Khalsa school,"73, Paddapukur Road, Lala Lajpat Rai Sarani, Kolkata, West Bengal 700020 ",700020,3324753765
The BSS School,"12P, Mirza Ghalib Street, Near St. Thomas Church, Park Street, Kolkata, West Bengal 700017 ",700017,3324613669
Birla High School,"Moxia Street, Near Lansdowne Doctors Chamber, Elgin, Kolkata, West Bengal 700017 ",700017,3322878145
